order_id,customer_id,order_value,is_fraud,fraud_prob,ood_score,decision,reason,expected_cost
ORD-00000001,CUST-09620,377.86,0,0.00980065068897956,-0.058357116484773486,HUMAN_REVIEW,OOD (Score: -0.058),50.0
ORD-00000002,CUST-03972,20.05,0,0.01226411310444924,-0.025588438507476163,HUMAN_REVIEW,OOD (Score: -0.026),50.0
ORD-00000003,CUST-05663,122.21,0,0.01612829575239504,0.09628078121302641,APPROVE,L=2|R=197|H=50,1.9710390239001976
ORD-00000004,CUST-07316,37.02,0,0.007119237887675181,-0.027577258010325845,HUMAN_REVIEW,OOD (Score: -0.028),50.0
ORD-00000005,CUST-03437,131.86,0,0.006970041452800074,-0.009959159059307998,HUMAN_REVIEW,OOD (Score: -0.010),50.0
ORD-00000006,CUST-02148,134.9,0,0.00980065068897956,0.06795471198117203,APPROVE,L=1|R=198|H=50,1.3221077779433428
ORD-00000007,CUST-00932,170.21,0,0.003206981351711803,-0.020402551867340968,HUMAN_REVIEW,OOD (Score: -0.020),50.0
ORD-00000008,CUST-08628,24.03,0,0.01226411310444924,-0.005869108356620023,HUMAN_REVIEW,OOD (Score: -0.006),50.0
ORD-00000009,CUST-09949,182.6,0,0.018732918268521984,0.0881798949418513,APPROVE,L=3|R=196|H=50,3.420630875832114
ORD-00000010,CUST-07936,70.45,0,0.00980065068897956,-0.05379113337960062,HUMAN_REVIEW,OOD (Score: -0.054),50.0
ORD-00000011,CUST-00598,72.21,0,0.014746039468954806,0.03904441348704918,APPROVE,L=1|R=197|H=50,1.0648115100532265
ORD-00000012,CUST-05663,202.66,0,0.02494340632277038,0.060452683260212525,APPROVE,L=5|R=195|H=50,5.055030725372645
ORD-00000013,CUST-09736,297.36,0,0.007119237887675181,-0.12844360730011062,HUMAN_REVIEW,OOD (Score: -0.128),50.0
ORD-00000014,CUST-08327,82.97,0,0.0025810032609449806,-0.04892967718147445,HUMAN_REVIEW,OOD (Score: -0.049),50.0
ORD-00000015,CUST-00905,50.0,0,0.003206981351711803,-0.05133987502603632,HUMAN_REVIEW,OOD (Score: -0.051),50.0
ORD-00000016,CUST-08309,35.94,0,0.006743306291559308,-0.026983282567449307,HUMAN_REVIEW,OOD (Score: -0.027),50.0
ORD-00000017,CUST-06454,44.52,0,0.012071311619564637,0.07010640242713778,APPROVE,L=1|R=198|H=50,0.5374147933030177
ORD-00000018,CUST-04505,92.89,0,0.014604879368297545,0.09112939775260448,APPROVE,L=1|R=197|H=50,1.356647244521159
ORD-00000019,CUST-06719,51.02,0,0.037207496244239045,0.10466477547145231,APPROVE,L=2|R=193|H=50,1.8983264583810762
ORD-00000020,CUST-08628,201.59,0,0.014604879368297545,0.08871369167487797,APPROVE,L=3|R=197|H=50,2.944197631855102
ORD-00000021,CUST-09160,134.9,0,0.012141416952827866,0.04358749478981955,APPROVE,L=2|R=198|H=50,1.6378771469364792
ORD-00000022,CUST-04912,113.86,0,0.0016420361247947454,-0.04070084738313484,HUMAN_REVIEW,OOD (Score: -0.041),50.0
ORD-00000023,CUST-03834,83.61,0,0.029721384809880385,0.09765891133840043,APPROVE,L=2|R=194|H=50,2.485004983954099
ORD-00000024,CUST-05713,61.8,0,0.0047089840278964,-0.09042862118051076,HUMAN_REVIEW,OOD (Score: -0.090),50.0
ORD-00000025,CUST-09239,50.04,0,0.004472645360974231,-0.024226319202097946,HUMAN_REVIEW,OOD (Score: -0.024),50.0
ORD-00000026,CUST-06267,34.16,0,0.01612829575239504,0.08242656184650288,APPROVE,L=1|R=197|H=50,0.5509425829018145
ORD-00000027,CUST-05854,29.77,0,0.0,-0.10991526164375187,HUMAN_REVIEW,OOD (Score: -0.110),50.0
ORD-00000028,CUST-02916,70.96,0,0.01645820056968465,0.08984126778769513,APPROVE,L=1|R=197|H=50,1.1678739124248225
ORD-00000029,CUST-02469,58.68,0,0.012141416952827866,0.031862189610364744,APPROVE,L=1|R=198|H=50,0.7124583467919392
ORD-00000030,CUST-09016,99.17,0,0.0016420361247947454,-0.06644009706831255,HUMAN_REVIEW,OOD (Score: -0.066),50.0
ORD-00000031,CUST-07040,57.58,0,0.006743306291559308,-0.015452983046806423,HUMAN_REVIEW,OOD (Score: -0.015),50.0
ORD-00000032,CUST-00336,82.62,0,0.012071311619564637,-0.021619586405950297,HUMAN_REVIEW,OOD (Score: -0.022),50.0
ORD-00000033,CUST-09439,75.37,0,0.00980065068897956,-0.01642114618332502,HUMAN_REVIEW,OOD (Score: -0.016),50.0
ORD-00000034,CUST-00042,52.4,0,0.016903024597299324,0.014588268263953319,APPROVE,L=1|R=197|H=50,0.8857184888984846
ORD-00000035,CUST-00371,420.06,0,0.0092376151489452,-0.10710044975826616,HUMAN_REVIEW,OOD (Score: -0.107),50.0
ORD-00000036,CUST-04716,160.41,0,0.007119237887675181,0.04074976201824887,APPROVE,L=1|R=199|H=50,1.1419969495619757
ORD-00000037,CUST-08632,57.16,0,0.012071311619564637,-0.013316570333469668,HUMAN_REVIEW,OOD (Score: -0.013),50.0
ORD-00000038,CUST-02594,44.74,0,0.003206981351711803,-0.06680285237005479,HUMAN_REVIEW,OOD (Score: -0.067),50.0
ORD-00000039,CUST-06545,52.31,0,0.01612829575239504,0.025864320068895996,APPROVE,L=1|R=197|H=50,0.8436711508077845
ORD-00000040,CUST-05870,180.81,0,0.016058190419131813,0.03723823466987636,APPROVE,L=3|R=197|H=50,2.903481409683223
