order_id,is_fraud,fraud_prob,ood_score,decision,reason
ORD-00000001,0,0.011643682042779963,-0.050818594760867475,HUMAN_REVIEW,OOD (Score: -0.051)
ORD-00000002,0,0.011643682042779963,-0.0524185252512428,HUMAN_REVIEW,OOD (Score: -0.052)
ORD-00000003,0,0.011755594519133397,-0.002677380359491832,HUMAN_REVIEW,OOD (Score: -0.003)
ORD-00000004,0,0.007362336477030727,-0.05419575693845402,HUMAN_REVIEW,OOD (Score: -0.054)
ORD-00000005,0,0.008246822589308834,0.09223693728042492,APPROVE,High Confidence Legitimate (0.82%)
ORD-00000006,0,0.011755594519133397,0.09402169416833267,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000007,0,0.011755594519133397,-0.07141573593714234,HUMAN_REVIEW,OOD (Score: -0.071)
ORD-00000008,0,0.011643682042779963,-0.12614648223570468,HUMAN_REVIEW,OOD (Score: -0.126)
ORD-00000009,0,0.011755594519133397,0.11598194104445059,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000010,0,0.011643682042779963,-0.008237049748724523,HUMAN_REVIEW,OOD (Score: -0.008)
ORD-00000011,0,0.010766307971764274,-0.04688950267266512,HUMAN_REVIEW,OOD (Score: -0.047)
ORD-00000012,0,0.011643682042779963,-0.0438153739944418,HUMAN_REVIEW,OOD (Score: -0.044)
ORD-00000013,0,0.011643682042779963,0.028253528851525878,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000014,0,0.011643682042779963,0.05466516857993314,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000015,0,0.012536281696558835,-0.03287886975855181,HUMAN_REVIEW,OOD (Score: -0.033)
ORD-00000016,0,0.004281345565749235,-0.0753147134069867,HUMAN_REVIEW,OOD (Score: -0.075)
ORD-00000017,0,0.011755594519133397,-0.014133435007672834,HUMAN_REVIEW,OOD (Score: -0.014)
ORD-00000018,1,0.011755594519133397,-0.11850898274484467,HUMAN_REVIEW,OOD (Score: -0.119)
ORD-00000019,0,0.0077901174955737965,-0.08317898734698714,HUMAN_REVIEW,OOD (Score: -0.083)
ORD-00000020,0,0.011755594519133397,0.09942118639871406,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000021,0,0.012010879105203464,0.01588639511268297,APPROVE,High Confidence Legitimate (1.20%)
ORD-00000022,0,0.011755594519133397,-0.034435642392644183,HUMAN_REVIEW,OOD (Score: -0.034)
ORD-00000023,0,0.012122791581556895,0.07785572632669807,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000024,0,0.011755594519133397,-0.04854817834751202,HUMAN_REVIEW,OOD (Score: -0.049)
ORD-00000025,0,0.012010879105203464,-0.0318396975406352,HUMAN_REVIEW,OOD (Score: -0.032)
ORD-00000026,0,0.011755594519133397,0.07293313727768225,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000027,0,0.011643682042779963,0.047374578679801105,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000028,0,0.011643682042779963,-0.061767647891144195,HUMAN_REVIEW,OOD (Score: -0.062)
ORD-00000029,1,0.19253823189227284,-0.04619716972299137,HUMAN_REVIEW,OOD (Score: -0.046)
ORD-00000030,0,0.01926842566910841,0.05735833962111786,APPROVE,High Confidence Legitimate (1.93%)
ORD-00000031,0,0.011643682042779963,-0.10058177250067901,HUMAN_REVIEW,OOD (Score: -0.101)
ORD-00000032,0,0.011755594519133397,0.10082655811862223,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000033,0,0.011755594519133397,-0.03347147937735295,HUMAN_REVIEW,OOD (Score: -0.033)
ORD-00000034,0,0.012010879105203464,-0.011699167690742751,HUMAN_REVIEW,OOD (Score: -0.012)
ORD-00000035,0,0.010766307971764274,-0.09938170869694807,HUMAN_REVIEW,OOD (Score: -0.099)
ORD-00000036,0,0.011755594519133397,0.040738077260281835,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000037,0,0.012122791581556895,0.05828972382339659,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000038,0,0.008246822589308834,-0.10557348400185385,HUMAN_REVIEW,OOD (Score: -0.106)
ORD-00000039,0,0.011755594519133397,0.09203697202847161,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000040,0,0.011643682042779963,-0.023762712232354266,HUMAN_REVIEW,OOD (Score: -0.024)
ORD-00000041,0,0.012122791581556895,0.03774968932567402,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000042,0,0.011755594519133397,0.004503517002055257,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000043,0,0.011755594519133397,0.08836995505779743,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000044,0,0.011643682042779963,-0.024294375202480678,HUMAN_REVIEW,OOD (Score: -0.024)
ORD-00000045,0,0.012010879105203464,0.021387857010193245,APPROVE,High Confidence Legitimate (1.20%)
ORD-00000046,0,0.012122791581556895,0.05328960475136468,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000047,0,0.011755594519133397,0.11388347994428794,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000048,0,0.011643682042779963,-0.07624494724098951,HUMAN_REVIEW,OOD (Score: -0.076)
ORD-00000049,0,0.012010879105203464,-0.013358532702443582,HUMAN_REVIEW,OOD (Score: -0.013)
ORD-00000050,0,0.011755594519133397,0.11158726217371417,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000051,0,0.011755594519133397,0.1132694640408119,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000052,0,0.012169084634135333,0.036731420178297225,APPROVE,High Confidence Legitimate (1.22%)
ORD-00000053,1,0.011755594519133397,0.009881487501677222,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000054,0,0.011643682042779963,0.07554182858049674,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000055,0,0.011755594519133397,0.004603260070422999,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000056,0,0.011755594519133397,-0.03749975965597874,HUMAN_REVIEW,OOD (Score: -0.037)
ORD-00000057,0,0.011755594519133397,-0.010801921442977203,HUMAN_REVIEW,OOD (Score: -0.011)
ORD-00000058,0,0.011643682042779963,-0.09898917665339102,HUMAN_REVIEW,OOD (Score: -0.099)
ORD-00000059,0,0.011643682042779963,-0.0265375079817195,HUMAN_REVIEW,OOD (Score: -0.027)
ORD-00000060,0,0.012536281696558835,0.050717671020524324,APPROVE,High Confidence Legitimate (1.25%)
ORD-00000061,0,0.011755594519133397,0.1104899387652356,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000062,0,0.011643682042779963,-0.0535947121603092,HUMAN_REVIEW,OOD (Score: -0.054)
ORD-00000063,0,0.011643682042779963,-0.024168644234648373,HUMAN_REVIEW,OOD (Score: -0.024)
ORD-00000064,0,0.04528385962634587,0.07822326078816466,APPROVE,High Confidence Legitimate (4.53%)
ORD-00000065,0,0.011643682042779963,0.03446379960055601,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000066,0,0.011755594519133397,-0.07774116821412236,HUMAN_REVIEW,OOD (Score: -0.078)
ORD-00000067,0,0.011755594519133397,-0.007429089695743629,HUMAN_REVIEW,OOD (Score: -0.007)
ORD-00000068,0,0.011643682042779963,-0.06641190696892463,HUMAN_REVIEW,OOD (Score: -0.066)
ORD-00000069,0,0.012122791581556895,0.0954536708277221,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000070,0,0.011755594519133397,0.08814420817516444,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000071,0,0.011755594519133397,-0.04996987268354802,HUMAN_REVIEW,OOD (Score: -0.050)
ORD-00000072,0,0.011643682042779963,-0.006449036889777826,HUMAN_REVIEW,OOD (Score: -0.006)
ORD-00000073,0,0.012122791581556895,0.10945671696061687,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000074,0,0.008157314557997298,0.0078091137646520425,APPROVE,High Confidence Legitimate (0.82%)
ORD-00000075,0,0.010766307971764274,-0.05696174437854462,HUMAN_REVIEW,OOD (Score: -0.057)
ORD-00000076,0,0.011643682042779963,-0.14514276214660193,HUMAN_REVIEW,OOD (Score: -0.145)
ORD-00000077,0,0.011755594519133397,0.02452326809062355,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000078,0,0.011643682042779963,-0.07562524350227895,HUMAN_REVIEW,OOD (Score: -0.076)
ORD-00000079,0,0.011755594519133397,-0.011242745098029805,HUMAN_REVIEW,OOD (Score: -0.011)
ORD-00000080,0,0.011643682042779963,-0.08645256312468197,HUMAN_REVIEW,OOD (Score: -0.086)
ORD-00000081,0,0.010766307971764274,-0.10459393955941454,HUMAN_REVIEW,OOD (Score: -0.105)
ORD-00000082,0,0.012010879105203464,0.01526192460937037,APPROVE,High Confidence Legitimate (1.20%)
ORD-00000083,0,0.011643682042779963,0.030142285208217434,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000084,0,0.011755594519133397,0.11206388466102296,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000085,0,0.011755594519133397,0.006884606085224232,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000086,0,0.011755594519133397,-0.02873600921952779,HUMAN_REVIEW,OOD (Score: -0.029)
ORD-00000087,0,0.011755594519133397,0.08620993381298125,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000088,0,0.010766307971764274,-0.08760508231112374,HUMAN_REVIEW,OOD (Score: -0.088)
ORD-00000089,0,0.011643682042779963,0.020863941642961514,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000090,1,0.0077901174955737965,-0.08701045762845305,HUMAN_REVIEW,OOD (Score: -0.087)
ORD-00000091,0,0.011755594519133397,0.03769118006625599,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000092,0,0.011643682042779963,-0.04491486140736256,HUMAN_REVIEW,OOD (Score: -0.045)
ORD-00000093,0,0.011643682042779963,-0.06060269510074734,HUMAN_REVIEW,OOD (Score: -0.061)
ORD-00000094,0,0.011643682042779963,0.005616182067069042,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000095,0,0.03990334630402904,0.04767597665823331,APPROVE,High Confidence Legitimate (3.99%)
ORD-00000096,0,0.011643682042779963,-0.07076059721852801,HUMAN_REVIEW,OOD (Score: -0.071)
ORD-00000097,0,0.011643682042779963,-0.006288272158979535,HUMAN_REVIEW,OOD (Score: -0.006)
ORD-00000098,0,0.012122791581556895,0.030795655451249793,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000099,0,0.011643682042779963,-0.014257817774014692,HUMAN_REVIEW,OOD (Score: -0.014)
ORD-00000100,0,0.011643682042779963,-0.08045861249088493,HUMAN_REVIEW,OOD (Score: -0.080)
ORD-00000101,0,0.012122791581556895,0.07056610426296844,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000102,0,0.012122791581556895,0.025219656059332296,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000103,1,0.008134910112955402,-0.03509998820000737,HUMAN_REVIEW,OOD (Score: -0.035)
ORD-00000104,0,0.011755594519133397,0.11103062917735534,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000105,0,0.0077901174955737965,-0.11145824822105876,HUMAN_REVIEW,OOD (Score: -0.111)
ORD-00000106,0,0.011755594519133397,0.046466641926935726,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000107,0,0.012010879105203464,0.02437376728406071,APPROVE,High Confidence Legitimate (1.20%)
ORD-00000108,0,0.011755594519133397,-0.0737677811275651,HUMAN_REVIEW,OOD (Score: -0.074)
ORD-00000109,0,0.010766307971764274,-0.1188832719530819,HUMAN_REVIEW,OOD (Score: -0.119)
ORD-00000110,0,0.011755594519133397,0.08894900084441226,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000111,0,0.007362336477030727,-0.020094563943986232,HUMAN_REVIEW,OOD (Score: -0.020)
ORD-00000112,0,0.011755594519133397,0.05720926348743938,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000113,0,0.011755594519133397,0.034628321925074756,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000114,0,0.011643682042779963,0.007639770827151504,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000115,0,0.012122791581556895,-0.02223334691722678,HUMAN_REVIEW,OOD (Score: -0.022)
ORD-00000116,0,0.011643682042779963,0.014509050292860926,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000117,0,0.011755594519133397,0.03938472489341327,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000118,0,0.012122791581556895,0.08559428444814315,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000119,0,0.011755594519133397,-0.03449890959646529,HUMAN_REVIEW,OOD (Score: -0.034)
ORD-00000120,0,0.010766307971764274,-0.10894341427493037,HUMAN_REVIEW,OOD (Score: -0.109)
ORD-00000121,0,0.011755594519133397,-0.07300904355870652,HUMAN_REVIEW,OOD (Score: -0.073)
ORD-00000122,0,0.011755594519133397,-0.03970005973530144,HUMAN_REVIEW,OOD (Score: -0.040)
ORD-00000123,0,0.012010879105203464,-0.06397247651966642,HUMAN_REVIEW,OOD (Score: -0.064)
ORD-00000124,0,0.011643682042779963,-0.024734632807857593,HUMAN_REVIEW,OOD (Score: -0.025)
ORD-00000125,0,0.011643682042779963,-0.03112128284455873,HUMAN_REVIEW,OOD (Score: -0.031)
ORD-00000126,0,0.0077901174955737965,-0.1466035120621645,HUMAN_REVIEW,OOD (Score: -0.147)
ORD-00000127,0,0.011755594519133397,0.10173987798737316,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000128,0,0.011755594519133397,-0.014380078452627454,HUMAN_REVIEW,OOD (Score: -0.014)
ORD-00000129,0,0.011643682042779963,-0.09027332705605218,HUMAN_REVIEW,OOD (Score: -0.090)
ORD-00000130,0,0.04569734974134781,-0.00020890054890665422,HUMAN_REVIEW,OOD (Score: -0.000)
ORD-00000131,0,0.011755594519133397,-0.03751070317085403,HUMAN_REVIEW,OOD (Score: -0.038)
ORD-00000132,0,0.007362336477030727,-0.015185962667584985,HUMAN_REVIEW,OOD (Score: -0.015)
ORD-00000133,0,0.011643682042779963,-0.06340280984155844,HUMAN_REVIEW,OOD (Score: -0.063)
ORD-00000134,1,0.011755594519133397,0.10745182950222099,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000135,0,0.011643682042779963,-0.051338792627595,HUMAN_REVIEW,OOD (Score: -0.051)
ORD-00000136,0,0.011755594519133397,-0.006226052068883936,HUMAN_REVIEW,OOD (Score: -0.006)
ORD-00000137,0,0.012122791581556895,0.09349691733239468,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000138,0,0.011643682042779963,-0.021291295234622587,HUMAN_REVIEW,OOD (Score: -0.021)
ORD-00000139,0,0.011643682042779963,0.010226543337999494,APPROVE,High Confidence Legitimate (1.16%)
ORD-00000140,0,0.011755594519133397,0.07116276188633586,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000141,0,0.011643682042779963,-0.05078672302076892,HUMAN_REVIEW,OOD (Score: -0.051)
ORD-00000142,0,0.011643682042779963,-0.06418539752828645,HUMAN_REVIEW,OOD (Score: -0.064)
ORD-00000143,0,0.010766307971764274,-0.0723661797056363,HUMAN_REVIEW,OOD (Score: -0.072)
ORD-00000144,0,0.011755594519133397,-0.04904058997566496,HUMAN_REVIEW,OOD (Score: -0.049)
ORD-00000145,0,0.011755594519133397,0.07494668176830815,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000146,0,0.011755594519133397,0.11371123839223957,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000147,0,0.011755594519133397,0.10610254654619122,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000148,0,0.012122791581556895,0.09825702597137842,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000149,0,0.011643682042779963,-0.03171283205612463,HUMAN_REVIEW,OOD (Score: -0.032)
ORD-00000150,0,0.011755594519133397,0.07920361211686783,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000151,0,0.011755594519133397,-0.07257991550929066,HUMAN_REVIEW,OOD (Score: -0.073)
ORD-00000152,0,0.019314718721686847,-0.030922211376476993,HUMAN_REVIEW,OOD (Score: -0.031)
ORD-00000153,0,0.011755594519133397,0.09351245709751599,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000154,0,0.011755594519133397,-0.06946426454463273,HUMAN_REVIEW,OOD (Score: -0.069)
ORD-00000155,0,0.011755594519133397,0.012263080807395521,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000156,0,0.011755594519133397,0.11876717413605675,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000157,0,0.011755594519133397,-0.030496517064012796,HUMAN_REVIEW,OOD (Score: -0.030)
ORD-00000158,0,0.011755594519133397,0.027249916651131967,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000159,0,0.011755594519133397,0.03199396559210399,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000160,0,0.012122791581556895,0.06264667643439564,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000161,0,0.011755594519133397,0.10766848639181048,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000162,0,0.011755594519133397,-0.05571146188995035,HUMAN_REVIEW,OOD (Score: -0.056)
ORD-00000163,0,0.011755594519133397,-0.059356000210988635,HUMAN_REVIEW,OOD (Score: -0.059)
ORD-00000164,0,0.011643682042779963,-0.005229346891073794,HUMAN_REVIEW,OOD (Score: -0.005)
ORD-00000165,0,0.011755594519133397,-0.08402704478052381,HUMAN_REVIEW,OOD (Score: -0.084)
ORD-00000166,0,0.010766307971764274,0.018186202354035008,APPROVE,High Confidence Legitimate (1.08%)
ORD-00000167,0,0.011643682042779963,-0.044657359819541,HUMAN_REVIEW,OOD (Score: -0.045)
ORD-00000168,0,0.011755594519133397,0.01325451425931412,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000169,0,0.011643682042779963,-0.07482636466278203,HUMAN_REVIEW,OOD (Score: -0.075)
ORD-00000170,0,0.011755594519133397,0.036738545839271164,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000171,0,0.011643682042779963,-0.049765346916104236,HUMAN_REVIEW,OOD (Score: -0.050)
ORD-00000172,0,0.011755594519133397,0.09052912701557653,APPROVE,High Confidence Legitimate (1.18%)
ORD-00000173,0,0.07967539401788026,0.03023671595389077,APPROVE,High Confidence Legitimate (7.97%)
ORD-00000174,0,0.010766307971764274,-0.0918173172486747,HUMAN_REVIEW,OOD (Score: -0.092)
ORD-00000175,0,0.010766307971764274,-0.017511065119194646,HUMAN_REVIEW,OOD (Score: -0.018)
ORD-00000176,0,0.011755594519133397,-0.02334329469408092,HUMAN_REVIEW,OOD (Score: -0.023)
ORD-00000177,0,0.012122791581556895,0.08540368161614659,APPROVE,High Confidence Legitimate (1.21%)
ORD-00000178,0,0.04528385962634587,0.0769534741281912,APPROVE,High Confidence Legitimate (4.53%)
ORD-00000179,0,0.011755594519133397,0.05300073910496922,APPROVE,High Confidence Legitimate (1.18%)
